url,title,category,product_type,price_excluded_tax,price_included_tax,price,tax,rating,num_reviews
https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,A Light in the Attic,Poetry,Books,£51.77,£51.77,£51.77,£0.00,star-rating Three,0
https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,Books,£52.29,£52.29,£52.29,£0.00,star-rating Five,0
https://books.toscrape.com/catalogue/set-me-free_988/index.html,Set Me Free,Young Adult,Books,£17.46,£17.46,£17.46,£0.00,star-rating Five,0
https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,It's Only the Himalayas,Travel,Books,£45.17,£45.17,£45.17,£0.00,star-rating Two,0
https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Libertarianism for Beginners,Politics,Books,£51.33,£51.33,£51.33,£0.00,star-rating Two,0
https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,Books,£57.25,£57.25,£57.25,£0.00,star-rating Three,0
https://books.toscrape.com/catalogue/olio_984/index.html,Olio,Poetry,Books,£23.88,£23.88,£23.88,£0.00,star-rating One,0
https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Rip it Up and Start Again,Music,Books,£35.02,£35.02,£35.02,£0.00,star-rating Five,0
https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Shakespeare's Sonnets,Poetry,Books,£20.66,£20.66,£20.66,£0.00,star-rating Four,0
https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,Books,£37.59,£37.59,£37.59,£0.00,star-rating One,0
https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,"Starving Hearts (Triangular Trade Trilogy, #1)",Default,Books,£13.99,£13.99,£13.99,£0.00,star-rating Two,0
https://books.toscrape.com/catalogue/the-black-maria_991/index.html,The Black Maria,Poetry,Books,£52.15,£52.15,£52.15,£0.00,star-rating One,0
https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,Books,£22.60,£22.60,£22.60,£0.00,star-rating Four,0
https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,The Dirty Little Secrets of Getting Your Dream Job,Business,Books,£33.34,£33.34,£33.34,£0.00,star-rating Four,0
https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,Books,£17.93,£17.93,£17.93,£0.00,star-rating Three,0
https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,The Requiem Red,Young Adult,Books,£22.65,£22.65,£22.65,£0.00,star-rating One,0
https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,Sapiens: A Brief History of Humankind,History,Books,£54.23,£54.23,£54.23,£0.00,star-rating Five,0
https://books.toscrape.com/catalogue/sharp-objects_997/index.html,Sharp Objects,Mystery,Books,£47.82,£47.82,£47.82,£0.00,star-rating Four,0
https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,Tipping the Velvet,Historical Fiction,Books,£53.74,£53.74,£53.74,£0.00,star-rating One,0
https://books.toscrape.com/catalogue/soumission_998/index.html,Soumission,Fiction,Books,£50.10,£50.10,£50.10,£0.00,star-rating One,0
https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,"In a Dark, Dark Wood",Mystery,Books,£19.63,£19.63,£19.63,£0.00,star-rating One,0
https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,Behind Closed Doors,Thriller,Books,£52.22,£52.22,£52.22,£0.00,star-rating Four,0
https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,You can't bury them all: Poems,Poetry,Books,£33.63,£33.63,£33.63,£0.00,star-rating Two,0
https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,Maude (1883-1993):She Grew Up with the country,Default,Books,£18.02,£18.02,£18.02,£0.00,star-rating Two,0
https://books.toscrape.com/catalogue/penny-maybe_965/index.html,Penny Maybe,Default,Books,£33.29,£33.29,£33.29,£0.00,star-rating Three,0
https://books.toscrape.com/catalogue/sophies-world_966/index.html,Sophie's World,Philosophy,Books,£15.94,£15.94,£15.94,£0.00,star-rating Five,0
